date,dax_30_de_index
2020-04-07,10356.7
2020-04-06,10075.17
2020-04-03,9525.77
2020-04-02,9570.82
2020-04-01,9544.75
2020-03-31,9935.84
2020-03-30,9815.97
2020-03-27,9632.52
2020-03-26,10000.96
2020-03-25,9874.26
2020-03-24,9700.57
2020-03-23,8741.15
2020-03-20,8928.95
2020-03-19,8610.43
2020-03-18,8441.71
2020-03-17,8939.1
2020-03-16,8742.25
2020-03-13,9232.08
2020-03-12,9161.13
2020-03-11,10438.68
2020-03-10,10475.49
2020-03-09,10625.02
2020-03-06,11541.87
2020-03-05,11944.72
2020-03-04,12127.69
2020-03-03,11985.39
2020-03-02,11857.87
2020-02-28,11890.35
2020-02-27,12367.46
2020-02-26,12774.88
2020-02-25,12790.49
2020-02-24,13035.24
2020-02-21,13579.33
2020-02-20,13664.0
2020-02-19,13789.0
2020-02-18,13681.19
2020-02-14,13744.21
2020-02-13,13745.43
2020-02-12,13749.78
2020-02-11,13627.84
2020-02-10,13494.03
2020-02-07,13513.81
2020-02-06,13574.82
2020-02-05,13478.33
2020-02-04,13281.74
2020-02-03,13045.19
2020-01-31,12981.97
2020-01-30,13157.12
2020-01-29,13345.0
2020-01-28,13323.69
2020-01-27,13204.77
2020-01-24,13576.68
2020-01-23,13388.42
2020-01-22,13515.75
2020-01-21,13555.87
2020-01-17,13526.13
2020-01-16,13429.43
2020-01-15,13432.3
2020-01-14,13456.49
2020-01-13,13451.52
2020-01-10,13483.31
2020-01-09,13495.06
2020-01-08,13320.18
2020-01-07,13226.83
2020-01-06,13126.99
2020-01-03,13219.14
2020-01-02,13385.93
2019-12-30,13249.01
2019-12-27,13337.11
2019-12-23,13300.98
2019-12-20,13318.9
2019-12-19,13211.96
2019-12-18,13222.16
2019-12-17,13287.83
2019-12-16,13407.66
2019-12-13,13282.72
2019-12-12,13221.64
2019-12-11,13146.74
2019-12-10,13070.72
2019-12-09,13105.61
2019-12-06,13166.58
2019-12-05,13054.8
2019-12-04,13140.57
2019-12-03,12989.29
2019-12-02,12964.68
2019-11-29,13236.38
2019-11-27,13287.07
2019-11-26,13236.42
2019-11-25,13246.45
2019-11-22,13163.88
2019-11-21,13137.7
2019-11-20,13158.14
2019-11-19,13221.12
2019-11-18,13207.01
2019-11-15,13241.75
2019-11-14,13180.23
2019-11-13,13230.07
2019-11-12,13283.51
2019-11-11,13198.37
2019-11-08,13228.56
2019-11-07,13289.46
2019-11-06,13179.89
2019-11-05,13148.5
2019-11-04,13136.28
2019-11-01,12961.05
2019-10-31,12866.79
2019-10-30,12910.23
2019-10-29,12939.62
2019-10-28,12941.71
2019-10-25,12894.51
2019-10-24,12872.1
2019-10-23,12798.19
2019-10-22,12754.69
2019-10-21,12747.96
2019-10-18,12633.6
2019-10-17,12654.95
2019-10-16,12670.11
2019-10-15,12629.79
2019-10-14,12486.56
2019-10-11,12511.65
2019-10-10,12164.2
2019-10-09,12094.26
2019-10-08,11970.2
2019-10-07,12097.43
2019-10-04,12012.81
2019-10-02,11925.25
2019-10-01,12263.83
2019-09-30,12428.08
2019-09-27,12380.94
2019-09-26,12288.54
2019-09-25,12234.18
2019-09-24,12307.15
2019-09-23,12342.33
2019-09-20,12468.01
2019-09-19,12457.7
2019-09-18,12389.62
2019-09-17,12372.61
2019-09-16,12380.31
2019-09-13,12468.53
2019-09-12,12410.25
2019-09-11,12359.07
2019-09-10,12268.71
2019-09-09,12226.1
2019-09-06,12191.73
2019-09-05,12126.78
2019-09-04,12025.04
2019-09-03,11910.86
2019-08-30,11939.28
2019-08-29,11838.88
2019-08-28,11701.02
2019-08-27,11730.02
2019-08-26,11658.04
2019-08-23,11611.51
2019-08-22,11747.04
2019-08-21,11802.85
2019-08-20,11651.18
2019-08-19,11715.37
2019-08-16,11562.74
2019-08-15,11412.67
2019-08-14,11492.66
2019-08-13,11750.13
2019-08-12,11679.68
2019-08-09,11693.8
2019-08-08,11845.41
2019-08-07,11650.15
2019-08-06,11567.96
2019-08-05,11658.51
2019-08-02,11872.44
2019-08-01,12253.15
2019-07-31,12189.04
2019-07-30,12147.24
2019-07-29,12417.47
2019-07-26,12419.9
2019-07-25,12362.1
2019-07-24,12522.89
2019-07-23,12490.74
2019-07-22,12289.4
2019-07-19,12260.07
2019-07-18,12227.85
2019-07-17,12341.03
2019-07-16,12430.97
2019-07-15,12387.34
2019-07-12,12323.32
2019-07-11,12332.12
2019-07-10,12373.41
2019-07-09,12436.55
2019-07-08,12543.51
2019-07-05,12568.53
2019-07-03,12616.24
2019-07-02,12526.72
2019-07-01,12521.38
2019-06-28,12398.8
2019-06-27,12271.03
2019-06-26,12245.32
2019-06-25,12228.44
2019-06-24,12274.57
2019-06-21,12339.92
2019-06-20,12355.39
2019-06-19,12308.53
2019-06-18,12331.75
2019-06-17,12085.82
2019-06-14,12096.4
2019-06-13,12169.05
2019-06-12,12115.68
2019-06-11,12155.81
2019-06-07,12045.38
2019-06-06,11953.14
2019-06-05,11980.81
2019-06-04,11971.17
2019-06-03,11792.81
2019-05-31,11726.84
2019-05-30,11902.08
2019-05-29,11837.81
2019-05-28,12027.05
2019-05-24,12011.04
2019-05-23,11952.41
2019-05-22,12168.74
2019-05-21,12143.47
2019-05-20,12041.29
2019-05-17,12238.94
2019-05-16,12310.37
2019-05-15,12099.57
2019-05-14,11991.62
2019-05-13,11876.65
2019-05-10,12059.83
2019-05-09,11973.92
2019-05-08,12179.93
2019-05-07,12092.74
2019-05-06,12286.88
2019-05-03,12412.75
2019-05-02,12345.42
2019-04-30,12344.08
2019-04-29,12328.02
2019-04-26,12315.18
2019-04-25,12282.6
2019-04-24,12313.16
2019-04-23,12235.51
2019-04-18,12222.39
2019-04-17,12153.07
2019-04-16,12101.32
2019-04-15,12020.28
2019-04-12,11999.93
2019-04-11,11935.2
2019-04-10,11905.91
2019-04-09,11850.57
2019-04-08,11963.4
2019-04-05,12009.75
2019-04-04,11988.01
2019-04-03,11954.4
2019-04-02,11754.79
2019-04-01,11681.99
2019-03-29,11526.04
2019-03-28,11428.16
2019-03-27,11419.04
2019-03-26,11419.48
2019-03-25,11346.65
2019-03-22,11364.17
2019-03-21,11549.96
2019-03-20,11603.89
2019-03-19,11788.41
2019-03-18,11657.06
2019-03-15,11685.69
2019-03-14,11587.47
2019-03-13,11572.41
2019-03-12,11524.17
2019-03-11,11543.48
2019-03-08,11457.84
2019-03-07,11517.8
2019-03-06,11587.63
2019-03-05,11620.74
2019-03-04,11592.66
2019-03-01,11601.68
2019-02-28,11515.64
2019-02-27,11487.33
2019-02-26,11540.79
2019-02-25,11505.39
2019-02-22,11457.7
2019-02-21,11423.28
2019-02-20,11401.97
2019-02-19,11309.21
2019-02-15,11299.8
2019-02-14,11089.79
2019-02-13,11167.22
2019-02-12,11126.08
2019-02-11,11014.59
2019-02-08,10906.78
2019-02-07,11022.02
2019-02-06,11324.72
2019-02-05,11367.98
2019-02-04,11176.58
2019-02-01,11180.66
2019-01-31,11173.1
2019-01-30,11181.66
2019-01-29,11218.83
2019-01-28,11210.31
2019-01-25,11281.79
2019-01-24,11130.18
2019-01-23,11071.54
2019-01-22,11090.11
2019-01-18,11205.54
2019-01-17,10918.62
2019-01-16,10931.24
2019-01-15,10891.79
2019-01-14,10855.91
2019-01-11,10887.46
2019-01-10,10921.59
2019-01-09,10893.32
2019-01-08,10803.98
2019-01-07,10747.81
2019-01-04,10767.69
2019-01-03,10416.66
2019-01-02,10580.19
